"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS9e03_2",9,"3.2","23.11.2023",1196,"AT",1.2068704,0.87690395,0.30209145,0.26490518,0.00056609116,31,480,4,1,2,2,5,2,1,4,2,4,2,2,3,3,1,3,2,3,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",1254,"AT",0.9176724,1.0997975,0.30209145,0.33223942,0.00074449077,11,927,3,1,1,3,3,1,1,2,2,3,1,2,2,1,1,3,2,1,2,1,2
"ESS9e03_2",9,"3.2","23.11.2023",1290,"AT",0.59357375,0.24924754,0.30209145,0.07529555,0.001150992,89,351,3,2,2,4,4,1,1,4,5,3,2,5,3,3,3,4,3,3,1,2,3
"ESS9e03_2",9,"3.2","23.11.2023",1309,"AT",1.1167736,0.4191188,0.30209145,0.1266122,0.0006117611,55,1562,1,2,1,2,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3
"ESS9e03_2",9,"3.2","23.11.2023",1338,"AT",0.8216318,1.2258335,0.30209145,0.37031382,0.0008315144,18,1042,3,2,1,4,4,2,1,4,1,2,4,3,3,1,1,3,2,2,1,2,2
"ESS9e03_2",9,"3.2","23.11.2023",1373,"AT",0.8761643,0.36791003,0.30209145,0.11114247,0.0007797609,65,1791,1,1,5,3,6,1,1,5,2,4,1,1,5,1,6,5,2,1,1,2,1
"ESS9e03_2",9,"3.2","23.11.2023",1381,"AT",0.510506,0.7347167,0.30209145,0.22195163,0.0013382775,4,809,2,1,1,1,6,1,1,3,1,2,1,1,1,1,1,4,1,1,1,2,1
"ESS9e03_2",9,"3.2","23.11.2023",1382,"AT",0.59286696,0.18528283,0.30209145,0.055972356,0.0011523642,57,1629,1,2,1,1,4,4,4,1,4,3,1,5,1,4,4,5,3,2,1,2,4
"ESS9e03_2",9,"3.2","23.11.2023",1393,"AT",1.0791376,1.92127,0.30209145,0.5803992,0.0006330969,19,1073,2,1,2,1,3,1,1,3,3,2,1,2,2,3,2,3,2,2,1,3,3
"ESS9e03_2",9,"3.2","23.11.2023",1406,"AT",1.1525277,0.36018798,0.30209145,0.10880971,0.00059278286,75,9,4,1,3,3,3,2,2,5,3,1,2,4,2,1,1,3,3,3,3,3,2
"ESS9e03_2",9,"3.2","23.11.2023",1473,"AT",0.9933993,0.31045708,0.30209145,0.093786426,0.0006877382,74,1982,5,3,4,3,4,1,3,5,2,4,2,4,3,4,2,4,3,3,3,5,3
"ESS9e03_2",9,"3.2","23.11.2023",1478,"AT",1.7523286,2.3606374,0.30209145,0.7131284,0.00038988044,65,1822,1,1,1,2,2,2,3,1,2,1,2,2,2,1,1,4,2,1,2,1,2
"ESS9e03_2",9,"3.2","23.11.2023",1516,"AT",1.1136138,1.4070302,0.30209145,0.4250518,0.00061349693,20,224,3,3,2,3,2,3,2,3,2,3,2,2,2,2,3,3,2,2,3,2,3
"ESS9e03_2",9,"3.2","23.11.2023",1539,"AT",1.0723196,1.6081586,0.30209145,0.48581097,0.0006371222,26,1143,3,3,2,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3
"ESS9e03_2",9,"3.2","23.11.2023",1564,"AT",0.8539414,0.6732673,0.30209145,0.20338829,0.00080005336,27,1187,3,2,3,2,4,3,2,4,3,4,2,3,2,3,3,3,5,6,1,5,2
"ESS9e03_2",9,"3.2","23.11.2023",1597,"AT",0.63620025,0.24751462,0.30209145,0.07477205,0.0010738736,61,1718,2,1,1,6,3,1,1,6,1,4,1,6,1,1,1,1,1,1,1,1,4
"ESS9e03_2",9,"3.2","23.11.2023",1641,"AT",2.042024,2.4472933,0.30209145,0.7393064,0.00033456937,4,814,3,1,1,3,3,3,6,6,4,1,1,6,2,1,1,3,3,4,3,3,2
"ESS9e03_2",9,"3.2","23.11.2023",1644,"AT",1.037346,1.492941,0.30209145,0.4510047,0.00065860245,12,954,5,1,2,2,3,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2
"ESS9e03_2",9,"3.2","23.11.2023",1732,"AT",0.4261578,0.30394697,0.30209145,0.09181978,0.0016031588,82,146,5,2,1,3,5,1,1,6,1,5,4,4,1,2,2,1,1,5,1,2,4
"ESS9e03_2",9,"3.2","23.11.2023",1746,"AT",1.0791376,1.2933083,0.30209145,0.39069736,0.0006330969,19,1110,3,3,3,4,5,2,1,6,1,5,3,5,2,2,1,3,1,2,3,6,3
"ESS9e03_2",9,"3.2","23.11.2023",1753,"AT",0.6061253,1.4618888,0.30209145,0.4416241,0.0011271575,64,1453,2,1,2,2,4,2,4,3,2,3,1,3,2,2,1,3,2,3,2,3,1
"ESS9e03_2",9,"3.2","23.11.2023",1766,"AT",0.8523156,0.68441707,0.30209145,0.20675655,0.0008015794,82,157,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"ESS9e03_2",9,"3.2","23.11.2023",1775,"AT",0.8523156,0.26636583,0.30209145,0.08046684,0.0008015794,82,162,5,2,1,2,4,1,2,2,2,1,1,2,4,2,2,4,2,3,2,2,1
"ESS9e03_2",9,"3.2","23.11.2023",1804,"AT",2.0303144,0.8732108,0.30209145,0.2637895,0.00033649892,95,540,3,1,2,1,3,1,1,5,1,1,1,4,1,1,1,4,3,3,1,1,1
"ESS9e03_2",9,"3.2","23.11.2023",1840,"AT",0.95936275,1.1497614,0.30209145,0.3473331,0.000712138,3,777,2,3,2,2,4,2,3,3,2,3,3,4,3,2,2,6,6,6,2,5,3
"ESS9e03_2",9,"3.2","23.11.2023",1863,"AT",1.4876366,0.86827874,0.30209145,0.2622996,0.00045925105,36,1128,2,1,1,3,3,1,2,3,1,2,3,2,2,2,1,3,1,2,1,1,2
"ESS9e03_2",9,"3.2","23.11.2023",1870,"AT",0.6042892,0.90156925,0.30209145,0.27235636,0.0011305823,7,866,3,2,2,3,5,2,3,5,2,2,2,2,5,5,2,5,5,4,3,4,5
"ESS9e03_2",9,"3.2","23.11.2023",1893,"AT",0.5583868,0.3982563,0.30209145,0.12030982,0.0012235222,55,1543,3,2,2,5,6,1,1,6,2,2,2,1,3,3,3,1,3,5,1,6,2
"ESS9e03_2",9,"3.2","23.11.2023",1903,"AT",1.6084795,0.9388099,0.30209145,0.28360644,0.0004247481,26,1143,3,2,2,2,5,1,3,6,2,4,1,2,2,3,1,2,3,5,1,3,1
"ESS9e03_2",9,"3.2","23.11.2023",1924,"AT",1.0151572,0.47130013,0.30209145,0.14237574,0.00067299785,95,543,2,2,1,4,6,4,6,4,5,2,4,6,3,3,2,2,5,4,6,3,2
"ESS9e03_2",9,"3.2","23.11.2023",1942,"AT",1.0627611,1.4156219,0.30209145,0.42764726,0.00064285257,44,1272,3,2,1,4,6,1,1,6,1,6,2,1,6,2,1,1,2,5,1,5,4
"ESS9e03_2",9,"3.2","23.11.2023",1956,"AT",0.97768,1.3022922,0.30209145,0.39341134,0.0006987957,50,1477,4,1,1,5,5,5,2,4,4,2,1,1,5,2,2,2,2,4,4,4,2
"ESS9e03_2",9,"3.2","23.11.2023",1958,"AT",0.5735685,0.8601817,0.30209145,0.25985354,0.0011911369,26,1132,2,2,1,2,3,2,3,4,2,4,1,4,3,3,1,3,2,3,1,2,2
"ESS9e03_2",9,"3.2","23.11.2023",1961,"AT",0.6838818,0.53631663,0.30209145,0.16201667,0.000999001,64,1564,3,1,1,3,4,1,3,4,1,3,1,5,3,1,1,4,1,3,2,3,1
"ESS9e03_2",9,"3.2","23.11.2023",1984,"AT",0.37701178,0.6712224,0.30209145,0.20277055,0.0018121414,102,664,1,1,2,1,3,2,1,1,2,2,1,4,1,1,1,4,1,2,2,2,3
"ESS9e03_2",9,"3.2","23.11.2023",2042,"AT",0.50140136,0.8117229,0.30209145,0.24521454,0.0013625782,103,697,4,1,3,3,5,2,3,3,3,2,2,3,2,2,2,3,3,3,4,3,5
"ESS9e03_2",9,"3.2","23.11.2023",2103,"AT",0.97768,0.7103757,0.30209145,0.21459843,0.0006987957,50,1447,5,2,2,4,4,2,2,6,2,3,2,3,4,2,2,2,2,2,3,2,3
"ESS9e03_2",9,"3.2","23.11.2023",2127,"AT",1.081864,0.8529666,0.30209145,0.25767392,0.0006315014,47,1368,1,2,3,2,3,2,4,3,3,2,3,4,2,3,2,4,4,3,3,3,4
"ESS9e03_2",9,"3.2","23.11.2023",2135,"AT",0.5811743,0.1816287,0.30209145,0.05486848,0.0011755485,59,1684,3,1,2,2,6,1,1,2,2,3,1,2,2,1,1,2,2,3,1,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2153,"AT",0.9872448,0.41455382,0.30209145,0.12523316,0.0006920256,68,1872,3,3,4,5,4,3,5,4,3,3,3,3,4,3,3,4,3,3,2,3,3
"ESS9e03_2",9,"3.2","23.11.2023",2188,"AT",1.8553398,0.7218228,0.30209145,0.2180565,0.0003682337,63,1789,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2
"ESS9e03_2",9,"3.2","23.11.2023",2237,"AT",1.0723196,0.8409392,0.30209145,0.25404054,0.0006371222,26,1143,1,1,1,1,5,1,3,6,1,2,1,1,1,1,1,1,1,2,3,1,1
"ESS9e03_2",9,"3.2","23.11.2023",2247,"AT",0.9872448,0.79276675,0.30209145,0.23948805,0.0006920256,68,1870,6,2,3,4,5,2,2,6,2,3,2,3,2,3,1,2,3,5,5,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2284,"AT",0.46808594,0.36708432,0.30209145,0.11089303,0.001459558,30,236,4,1,2,4,5,2,1,5,2,4,2,3,3,2,2,3,2,3,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2295,"AT",1.5394742,4.0001955,0.30209145,1.2084248,0.000443787,2,771,2,1,2,3,6,1,1,5,4,1,3,1,1,1,1,1,2,1,3,3,1
"ESS9e03_2",9,"3.2","23.11.2023",2370,"AT",1.1320602,1.3567339,0.30209145,0.40985772,0.00060350035,99,600,4,1,3,2,4,2,1,4,2,3,3,3,3,2,1,3,3,3,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2437,"AT",0.91924375,0.66791606,0.30209145,0.20177174,0.0007432181,46,1329,4,1,2,4,5,2,1,4,2,3,2,3,3,2,1,4,1,2,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2470,"AT",0.86549884,0.6288656,0.30209145,0.18997492,0.0007893698,29,1953,2,1,1,1,5,1,5,2,2,2,1,5,1,2,1,4,2,1,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",2480,"AT",0.8539414,0.6732673,0.30209145,0.20338829,0.00080005336,27,1354,2,2,2,3,3,3,2,3,3,2,3,3,3,3,1,4,3,2,2,2,2
"ESS9e03_2",9,"3.2","23.11.2023",2508,"AT",0.85419756,0.3586859,0.30209145,0.10835595,0.00079981337,86,223,3,1,1,3,4,1,2,5,2,2,2,4,3,1,1,2,2,3,2,1,3
"ESS9e03_2",9,"3.2","23.11.2023",2511,"AT",1.7126081,0.64273196,0.30209145,0.19416383,0.00039892292,56,1573,4,1,1,3,4,1,1,3,3,2,3,5,1,2,1,4,3,2,1,2,3
"ESS9e03_2",9,"3.2","23.11.2023",2580,"AT",0.6033864,0.4731903,0.30209145,0.14294675,0.0011322738,24,1112,4,2,3,3,3,1,3,5,3,2,2,2,2,2,2,3,2,2,1,1,2
"ESS9e03_2",9,"3.2","23.11.2023",2606,"AT",0.8523156,0.26636583,0.30209145,0.08046684,0.0008015794,82,152,3,2,2,2,4,3,2,3,3,3,3,4,3,2,2,5,2,2,2,2,2
"ESS9e03_2",9,"3.2","23.11.2023",2614,"AT",1.1167736,0.43448243,0.30209145,0.13125342,0.0006117611,55,1548,6,1,1,4,6,1,1,6,1,5,3,2,4,2,1,2,4,4,1,5,2
"ESS9e03_2",9,"3.2","23.11.2023",2616,"AT",1.6187063,4.0001955,0.30209145,1.2084248,0.00042206462,19,1102,2,1,1,1,3,1,2,3,4,1,1,2,1,1,1,2,2,2,1,1,2
"ESS9e03_2",9,"3.2","23.11.2023",2696,"AT",0.43808216,0.1644097,0.30209145,0.049666762,0.0015595218,65,1797,2,3,1,2,5,2,6,1,3,3,3,5,2,4,2,5,4,1,8,3,4
"ESS9e03_2",9,"3.2","23.11.2023",2702,"AT",0.5016955,0.2117949,0.30209145,0.06398143,0.0013617794,93,499,3,2,1,2,4,1,1,4,2,4,3,6,1,1,1,4,2,1,2,1,2
"ESS9e03_2",9,"3.2","23.11.2023",2706,"AT",1.6084795,1.261409,0.30209145,0.3810609,0.0004247481,26,1143,2,1,1,3,4,1,2,4,1,4,4,2,3,2,1,1,1,3,1,2,1
"ESS9e03_2",9,"3.2","23.11.2023",2724,"AT",2.0944307,1.6823103,0.30209145,0.50821155,0.00032619777,43,1342,3,1,4,3,4,2,3,4,2,2,1,4,2,2,1,2,3,1,2,3,2
"ESS9e03_2",9,"3.2","23.11.2023",2898,"AT",1.4793528,0.57554466,0.30209145,0.17386712,0.00046182267,77,67,4,3,3,4,4,2,3,5,3,3,3,4,4,3,3,4,3,2,3,3,3
"ESS9e03_2",9,"3.2","23.11.2023",2908,"AT",1.722913,1.0056008,0.30209145,0.30378342,0.00039653693,48,1430,3,2,3,3,3,2,2,4,3,3,2,3,3,3,2,3,3,3,2,3,2
"ESS9e03_2",9,"3.2","23.11.2023",2911,"AT",0.5530676,1.3339212,0.30209145,0.4029662,0.0012352896,1,2,3,1,1,1,4,2,4,4,4,1,1,4,1,2,1,4,1,2,2,1,1
"ESS9e03_2",9,"3.2","23.11.2023",2926,"AT",1.0292957,1.832533,0.30209145,0.55359256,0.00066375354,14,1004,4,3,3,3,4,3,4,4,3,4,2,3,3,3,3,3,2,3,4,3,3
"ESS9e03_2",9,"3.2","23.11.2023",2963,"AT",1.0874815,0.8528295,0.30209145,0.2576325,0.00062823936,23,890,4,1,2,2,5,3,1,5,1,3,1,3,2,1,1,4,2,3,5,4,2
"ESS9e03_2",9,"3.2","23.11.2023",3008,"AT",0.57626384,0.2675382,0.30209145,0.080821,0.0011855657,75,8,2,2,2,1,2,2,5,2,4,2,3,5,2,3,2,5,3,2,3,2,3
"ESS9e03_2",9,"3.2","23.11.2023",3042,"AT",1.3142464,1.0553515,0.30209145,0.31881267,0.00051984057,65,1802,2,1,1,3,3,1,2,4,5,1,1,5,2,2,1,5,1,1,3,2,1
"ESS9e03_2",9,"3.2","23.11.2023",3124,"AT",0.533265,0.41819936,0.30209145,0.12633444,0.0012811616,33,791,1,1,1,1,3,5,1,1,6,2,2,6,1,1,1,6,6,4,1,3,2
"ESS9e03_2",9,"3.2","23.11.2023",3126,"AT",0.57430434,0.45038357,0.30209145,0.13605702,0.0011896107,48,1418,4,2,2,2,2,3,4,4,4,2,4,5,3,3,2,5,4,2,2,3,5
"ESS9e03_2",9,"3.2","23.11.2023",3142,"AT",0.43274942,0.25257996,0.30209145,0.076302245,0.0015787396,29,1920,2,2,1,4,1,1,3,5,1,1,5,4,2,2,1,3,1,1,4,1,2
"ESS9e03_2",9,"3.2","23.11.2023",3147,"AT",1.0874815,1.7607293,0.30209145,0.5319013,0.00062823936,23,890,5,2,2,2,6,1,5,5,5,4,1,6,2,1,2,5,4,5,2,4,2
"ESS9e03_2",9,"3.2","23.11.2023",3163,"AT",0.45962188,0.33395803,0.30209145,0.10088587,0.0014864362,46,1338,2,4,2,2,5,4,2,5,2,4,2,2,2,4,2,1,3,2,8,4,2
"ESS9e03_2",9,"3.2","23.11.2023",3171,"AT",1.147137,0.8335019,0.30209145,0.2517938,0.00059556845,26,1132,4,2,2,5,5,2,2,5,2,2,2,2,6,4,1,2,3,4,1,5,3
"ESS9e03_2",9,"3.2","23.11.2023",3173,"AT",0.5530676,0.7366986,0.30209145,0.22255036,0.0012352896,1,2,3,1,2,3,4,2,3,4,2,2,2,3,3,2,1,3,2,3,2,3,2
"ESS9e03_2",9,"3.2","23.11.2023",3195,"AT",0.601063,0.47389197,0.30209145,0.14315872,0.0011366507,39,1203,4,1,6,5,6,1,5,4,1,1,1,1,4,2,1,4,1,2,1,2,2
"ESS9e03_2",9,"3.2","23.11.2023",3217,"AT",1.1525277,0.44839272,0.30209145,0.13545561,0.00059278286,75,37,4,5,1,3,4,2,3,6,1,2,2,4,6,2,2,6,5,4,2,5,2
"ESS9e03_2",9,"3.2","23.11.2023",3220,"AT",0.8202559,2.128046,0.30209145,0.6428645,0.0008329092,9,898,5,4,2,2,5,5,3,3,3,3,3,5,2,2,3,2,2,2,2,6,3
"ESS9e03_2",9,"3.2","23.11.2023",3262,"AT",1.1623486,0.3632574,0.30209145,0.10973696,0.00058777427,59,1682,4,2,3,2,4,3,1,3,3,3,3,3,3,2,2,3,2,4,2,4,3
"ESS9e03_2",9,"3.2","23.11.2023",3283,"AT",0.6061253,1.5249664,0.30209145,0.4606793,0.0011271575,64,1453,1,1,1,1,2,2,4,2,4,1,1,5,1,1,1,2,5,2,5,1,1
"ESS9e03_2",9,"3.2","23.11.2023",3284,"AT",1.1796563,1.9456217,0.30209145,0.5877557,0.00057915057,13,987,5,4,5,4,5,2,1,5,1,5,4,5,3,2,1,2,3,5,2,4,6
"ESS9e03_2",9,"3.2","23.11.2023",3323,"AT",1.6519377,0.96417475,0.30209145,0.29126894,0.0004135741,43,1231,4,4,4,4,3,3,3,3,5,2,4,4,4,4,4,3,4,4,3,4,4
"ESS9e03_2",9,"3.2","23.11.2023",3393,"AT",0.5016955,0.2329188,0.30209145,0.07036278,0.0013617794,93,498,4,1,1,2,4,1,3,2,2,2,2,5,1,2,1,2,2,1,3,1,1
"ESS9e03_2",9,"3.2","23.11.2023",3409,"AT",1.2068704,0.84589547,0.30209145,0.25553778,0.00056609116,31,413,4,1,2,3,5,2,1,4,2,3,2,2,3,2,1,4,2,2,2,2,2
"ESS9e03_2",9,"3.2","23.11.2023",3469,"AT",0.9872448,0.41455382,0.30209145,0.12523316,0.0006920256,68,1879,3,3,2,2,5,3,4,5,5,2,4,3,3,5,3,3,4,4,3,3,5
"ESS9e03_2",9,"3.2","23.11.2023",3502,"AT",1.0723196,0.84544194,0.30209145,0.25540078,0.0006371222,26,1143,2,2,1,1,3,2,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1
"ESS9e03_2",9,"3.2","23.11.2023",3566,"AT",1.147137,2.766733,0.30209145,0.83580637,0.00059556845,26,1132,4,1,3,3,4,3,3,5,4,2,2,2,2,2,2,5,5,3,5,3,3
"ESS9e03_2",9,"3.2","23.11.2023",3590,"AT",0.5568069,0.4045721,0.30209145,0.122217774,0.0012269939,20,224,2,2,2,4,4,3,2,3,2,2,2,2,4,2,2,2,4,4,4,4,2
"ESS9e03_2",9,"3.2","23.11.2023",3604,"AT",0.8202559,1.3279192,0.30209145,0.40115306,0.0008329092,9,883,1,2,1,2,6,1,2,2,2,1,1,6,1,2,2,6,6,6,2,6,1
"ESS9e03_2",9,"3.2","23.11.2023",3651,"AT",1.1042198,0.8023186,0.30209145,0.24237359,0.0006187162,20,113,3,2,1,3,2,1,3,4,2,2,1,2,3,2,1,4,2,2,2,2,3
"ESS9e03_2",9,"3.2","23.11.2023",3654,"AT",0.71952206,0.32696733,0.30209145,0.09877403,0.0009495173,72,1957,4,2,2,3,4,1,2,4,2,2,1,3,3,2,2,2,2,1,1,1,2
"ESS9e03_2",9,"3.2","23.11.2023",3667,"AT",1.0627724,0.71899295,0.30209145,0.21720162,0.00064284564,79,83,5,2,2,4,4,2,4,4,2,2,3,5,3,2,2,4,4,2,2,2,3
"ESS9e03_2",9,"3.2","23.11.2023",3676,"AT",0.30985904,0.14385614,0.30209145,0.04345771,0.0022048692,69,1917,4,2,1,2,3,3,2,4,4,2,2,4,1,2,1,3,3,3,1,2,3
